Sequence,ExpectedTotal_ms,Network_ms,JitterSize_pkts,Jitter_ms,Total_ms
835,13,0.379,0,0,12.379
836,13,0.129,0,0,12.129
837,13,0.084,0,0,12.084
838,13,0.126,0,0,12.126
839,13,0.12,0,0,12.12
840,13,0.176,0,0,12.176
841,13,0.153,0,0,12.153
842,13,0.065,0,0,12.065
843,13,0.198,0,0,12.198
844,13,0.176,0,0,12.176
845,13,0.125,0,0,12.125
846,13,0.063,1,4,16.063
847,13,0.117,0,0,12.117
848,13,0.12,0,0,12.12
849,13,0.125,0,0,12.125
850,13,0.112,0,0,12.112
851,13,0.107,0,0,12.107
852,13,0.146,0,0,12.146
853,13,0.157,0,0,12.157
854,13,0.082,0,0,12.082
855,13,0.157,0,0,12.157
856,13,0.16,0,0,12.16
857,13,0.139,0,0,12.139
